,Disease,Epidemiology,Clinical findings,Transmission,Agent,Incubation period,Diagnostic tests,tokenized,pos_tagged,synsets
40,amebiasis entamoeba histolytica,e histolytica distributed world wide especially countries poor sanitation little access clean water see water sanitation maps infection endemic mexico india south africa central south american countries asian pacific countries,90 cases selflimited asymptomatic 10 develop invasive gastrointestinal disease colitis 1 extraintestinal disease liver abscess amebic colitis presents abdominal cramps weight loss watery sometimes bloody diarrhea patients afebrile e moshkovskii cause noninvasive diarrhea,fecal–oral route mainly exposure food water contaminated infectious cysts direct humantohuman transmission,entamoeba histolytica,days months,microscopy stool specimens cannot distinguish e histolytica e moshkovskii e dispar pcr able distinguish species,"['e', 'histolytica', 'distributed', 'world', 'wide', 'especially', 'countries', 'poor', 'sanitation', 'little', 'access', 'clean', 'water', 'see', 'water', 'sanitation', 'maps', 'infection', 'endemic', 'mexico', 'india', 'south', 'africa', 'central', 'south', 'american', 'countries', 'asian', 'pacific', 'countries']","[('e', 'NN'), ('histolytica', 'NN'), ('distributed', 'VBD'), ('world', 'NN'), ('wide', 'JJ'), ('especially', 'RB'), ('countries', 'NNS'), ('poor', 'JJ'), ('sanitation', 'NN'), ('little', 'JJ'), ('access', 'NN'), ('clean', 'JJ'), ('water', 'NN'), ('see', 'VBP'), ('water', 'NN'), ('sanitation', 'NN'), ('maps', 'NNS'), ('infection', 'VBP'), ('endemic', 'JJ'), ('mexico', 'NN'), ('india', 'NN'), ('south', 'NN'), ('africa', 'JJ'), ('central', 'JJ'), ('south', 'JJ'), ('american', 'JJ'), ('countries', 'NNS'), ('asian', 'JJ'), ('pacific', 'NN'), ('countries', 'NNS')]","[Synset('vitamin_e.n.01'), None, Synset('distribute.v.01'), Synset('universe.n.01'), Synset('wide.a.01'), Synset('particularly.r.01'), Synset('state.n.04'), Synset('hapless.s.01'), Synset('sanitation.n.01'), Synset('small.a.01'), Synset('entree.n.02'), Synset('clean.a.01'), Synset('water.n.01'), Synset('see.v.01'), Synset('water.n.01'), Synset('sanitation.n.01'), Synset('map.n.01'), None, Synset('endemic.a.01'), Synset('mexico.n.01'), Synset('india.n.01'), Synset('south.n.01'), None, Synset('cardinal.s.01'), Synset('south.a.01'), Synset('american.a.01'), Synset('state.n.04'), Synset('asian.a.01'), Synset('pacific.n.01'), Synset('state.n.04')]"
41,anisakidosis,anisakidosis occurs world wide mainly coastal regions cultures consumption raw fish occurs pseudoterranovosis codworm relatively common north america europe japan allergic cases reported mediterranean europe,acute severe gastric pain nausea vomiting sometimes hematemesis intestinal anisakiasis cause abdominal pain obstruction peritonitis ulceration bleeding,ingestion raw undercooked fish,simplex physeteris pseudoterranova decipiens contracaecum spp,hours gastric anisakiasis several weeks intestinal anisakiasis immediate anisakisassociated hypersensitivity eating,endoscopic identification larvae specific antibody tests available,"['anisakidosis', 'occurs', 'world', 'wide', 'mainly', 'coastal', 'regions', 'cultures', 'consumption', 'raw', 'fish', 'occurs', 'pseudoterranovosis', 'codworm', 'relatively', 'common', 'north', 'america', 'europe', 'japan', 'allergic', 'cases', 'reported', 'mediterranean', 'europe']","[('anisakidosis', 'NN'), ('occurs', 'VBZ'), ('world', 'NN'), ('wide', 'JJ'), ('mainly', 'RB'), ('coastal', 'JJ'), ('regions', 'NNS'), ('cultures', 'NNS'), ('consumption', 'VBP'), ('raw', 'JJ'), ('fish', 'NN'), ('occurs', 'VBZ'), ('pseudoterranovosis', 'NN'), ('codworm', 'NN'), ('relatively', 'RB'), ('common', 'JJ'), ('north', 'NN'), ('america', 'IN'), ('europe', 'NN'), ('japan', 'NN'), ('allergic', 'NN'), ('cases', 'NNS'), ('reported', 'VBD'), ('mediterranean', 'JJ'), ('europe', 'NN')]","[None, Synset('happen.v.01'), Synset('universe.n.01'), Synset('wide.a.01'), Synset('chiefly.r.01'), Synset('coastal.a.01'), Synset('region.n.01'), Synset('culture.n.01'), None, Synset('natural.s.07'), Synset('fish.n.01'), Synset('happen.v.01'), None, None, Synset('relatively.r.01'), Synset('common.a.01'), Synset('north.n.01'), None, Synset('europe.n.01'), Synset('japan.n.01'), None, Synset('case.n.01'), Synset('report.v.01'), Synset('mediterranean.a.01'), Synset('europe.n.01')]"
42,babesiosis,immunocompromised asplenic elderly people higher risk symptomatic disease cases diagnosed usa increased markedly since 1975 due increase whitetailed deer population hosts adult vector ticks,often asymptomatic healthy individuals symptomatic cases fever chills myalgia fatigue jaundice hemolytic anemia severe cases acute respiratory failure congestive heart failure dic liver renal failure splenic rupture,tick bite rarely blood transfusion transplacentalperinatal,intraerythrocytic protozoan parasites babesia spp b microti north america b duncani west coast usa b divergens cape verde western europe finland b venatorum switzerland italy austria b,1–9 weeks relapses year,microscopy giemsastained thick thin film blood smear pcr isolation hamsters serology ifa,"['immunocompromised', 'asplenic', 'elderly', 'people', 'higher', 'risk', 'symptomatic', 'disease', 'cases', 'diagnosed', 'usa', 'increased', 'markedly', 'since', '1975', 'due', 'increase', 'whitetailed', 'deer', 'population', 'hosts', 'adult', 'vector', 'ticks']","[('immunocompromised', 'VBN'), ('asplenic', 'JJ'), ('elderly', 'JJ'), ('people', 'NNS'), ('higher', 'JJR'), ('risk', 'NN'), ('symptomatic', 'JJ'), ('disease', 'NN'), ('cases', 'NNS'), ('diagnosed', 'VBD'), ('usa', 'JJ'), ('increased', 'VBN'), ('markedly', 'RB'), ('since', 'IN'), ('1975', 'CD'), ('due', 'JJ'), ('increase', 'NN'), ('whitetailed', 'VBD'), ('deer', 'JJ'), ('population', 'NN'), ('hosts', 'NNS'), ('adult', 'VBP'), ('vector', 'NN'), ('ticks', 'NNS')]","[None, None, Synset('aged.s.01'), Synset('people.n.01'), Synset('higher.s.01'), Synset('hazard.n.01'), Synset('diagnostic.s.02'), Synset('disease.n.01'), Synset('case.n.01'), Synset('diagnose.v.01'), None, Synset('increase.v.01'), Synset('markedly.r.01'), None, None, Synset('due.a.01'), Synset('addition.n.03'), None, None, Synset('population.n.01'), Synset('host.n.01'), None, Synset('vector.n.01'), Synset('tick.n.01')]"
43,capillariasis intestinal,intestinal capillariasis generally found countries raw freshwater fish eaten c philippinensisis endemic philippines laos thailand rare cases reported asian countries middle east,intestinal capillariasis starts mild abdominal pain borborygmus diarrhea develops profuse watery diarrhea untreated chronic diarrhea vomiting malabsorption leading weight loss muscle wasting cachexia eventually death,consumption raw undercooked uneviscerated fish ingested infected feces humans waterfowl,agent intestinal capillariasis capillaria philippinensis paracapillariaphilipparia phphilippinensis small nematode roundworm,least 2 weeks,microscopy eggs larvae andor adult worms stool intestinal biopsies c philippinensis,"['intestinal', 'capillariasis', 'generally', 'found', 'countries', 'raw', 'freshwater', 'fish', 'eaten', 'c', 'philippinensisis', 'endemic', 'philippines', 'laos', 'thailand', 'rare', 'cases', 'reported', 'asian', 'countries', 'middle', 'east']","[('intestinal', 'JJ'), ('capillariasis', 'NN'), ('generally', 'RB'), ('found', 'VBN'), ('countries', 'NNS'), ('raw', 'JJ'), ('freshwater', 'NN'), ('fish', 'JJ'), ('eaten', 'VBN'), ('c', 'JJ'), ('philippinensisis', 'NN'), ('endemic', 'JJ'), ('philippines', 'NNS'), ('laos', 'RBR'), ('thailand', 'RB'), ('rare', 'JJ'), ('cases', 'NNS'), ('reported', 'VBD'), ('asian', 'JJ'), ('countries', 'NNS'), ('middle', 'VBP'), ('east', 'NN')]","[Synset('intestinal.a.01'), None, Synset('by_and_large.r.01'), Synset('establish.v.01'), Synset('state.n.04'), Synset('natural.s.07'), Synset('fresh_water.n.01'), None, Synset('eat.v.01'), Synset('hundred.s.01'), None, Synset('endemic.a.01'), Synset('philippines.n.01'), None, None, Synset('rare.s.01'), Synset('case.n.01'), Synset('report.v.01'), Synset('asian.a.01'), Synset('state.n.04'), Synset('middle.v.01'), Synset('east.n.01')]"
44,clonorchiasis,clonorchiasis common liver fluke humans estimates show approximately 35 million people infected world wide 15 million china,loss appetite epigastric discomfort rarely jaundice due bile duct obstruction cirrhosis liver enlargement ascites edema,consumption raw undercooked infected freshwater fish,clonorchis sinensis,depends infecting dose larvae reach adult fluke stage less one month,visualizing characteristic eggs feces duodenal fluid microscopy,"['clonorchiasis', 'common', 'liver', 'fluke', 'humans', 'estimates', 'show', 'approximately', '35', 'million', 'people', 'infected', 'world', 'wide', '15', 'million', 'china']","[('clonorchiasis', 'NN'), ('common', 'JJ'), ('liver', 'NN'), ('fluke', 'JJ'), ('humans', 'NNS'), ('estimates', 'VBZ'), ('show', 'VBP'), ('approximately', 'RB'), ('35', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('infected', 'JJ'), ('world', 'NN'), ('wide', 'JJ'), ('15', 'CD'), ('million', 'CD'), ('china', 'NN')]","[None, Synset('common.a.01'), Synset('liver.n.01'), None, Synset('world.n.08'), Synset('estimate.v.01'), Synset('show.v.01'), Synset('approximately.r.01'), None, None, Synset('people.n.01'), Synset('septic.a.01'), Synset('universe.n.01'), Synset('wide.a.01'), None, None, Synset('china.n.01')]"
45,cysticercosis,cysticerosis worldwide distribution mainly pigs consumed sanitation substandard neurocysticercosis common latin america nonmuslim african asian countries pig eaten traditional pig rearing practiced regions habit eating raw undercooked pig meat increased risk,taeniosis solium infection small intestine varies asymptomatic frequent weight loss anorexia abdominal pain,cysticercosis develops ingesting solium eggs taeniasis tapeworm carriage occurs ingestion raw undercooked pork meat cysticerci,larval stage pork tapeworm solium,extremely variable months several years,taeniosis detection eggs stool microscopy serology neurocysticercosis histology ct mri scan brain,"['cysticerosis', 'worldwide', 'distribution', 'mainly', 'pigs', 'consumed', 'sanitation', 'substandard', 'neurocysticercosis', 'common', 'latin', 'america', 'nonmuslim', 'african', 'asian', 'countries', 'pig', 'eaten', 'traditional', 'pig', 'rearing', 'practiced', 'regions', 'habit', 'eating', 'raw', 'undercooked', 'pig', 'meat', 'increased', 'risk']","[('cysticerosis', 'NN'), ('worldwide', 'WRB'), ('distribution', 'NN'), ('mainly', 'RB'), ('pigs', 'VBZ'), ('consumed', 'VBN'), ('sanitation', 'NN'), ('substandard', 'NN'), ('neurocysticercosis', 'NN'), ('common', 'JJ'), ('latin', 'NN'), ('america', 'JJ'), ('nonmuslim', 'JJ'), ('african', 'JJ'), ('asian', 'JJ'), ('countries', 'NNS'), ('pig', 'VBP'), ('eaten', 'JJ'), ('traditional', 'JJ'), ('pig', 'NN'), ('rearing', 'NN'), ('practiced', 'VBD'), ('regions', 'NNS'), ('habit', 'NN'), ('eating', 'VBG'), ('raw', 'JJ'), ('undercooked', 'JJ'), ('pig', 'NN'), ('meat', 'NN'), ('increased', 'VBD'), ('risk', 'NN')]","[None, None, Synset('distribution.n.01'), Synset('chiefly.r.01'), Synset('pig.v.01'), Synset('devour.v.03'), Synset('sanitation.n.01'), None, None, Synset('common.a.01'), Synset('latin.n.01'), None, None, Synset('african.a.01'), Synset('asian.a.01'), Synset('state.n.04'), Synset('pig.v.01'), None, Synset('traditional.a.01'), Synset('hog.n.03'), Synset('raising.n.02'), Synset('practice.v.01'), Synset('region.n.01'), Synset('habit.n.01'), Synset('eat.v.01'), Synset('natural.s.07'), None, Synset('hog.n.03'), Synset('meat.n.01'), Synset('increase.v.01'), Synset('hazard.n.01')]"
46,diphyllobothriasis,human infection associated cold waters northern hemisphere historically finland alaska high disease prevalence decreased due preventive measures disease incidence increasing countries russia south korea japan brazil,infections asymptomatic mild symptoms abdominal discomfort diarrhea vomiting weight loss rarely anemia,consumption raw undercooked freshwater fish containing infectious larvae,cestode diphyllobothrium latum fish broad tapeworm,2–6 weeks,microscopic identification eggs stool,"['human', 'infection', 'associated', 'cold', 'waters', 'northern', 'hemisphere', 'historically', 'finland', 'alaska', 'high', 'disease', 'prevalence', 'decreased', 'due', 'preventive', 'measures', 'disease', 'incidence', 'increasing', 'countries', 'russia', 'south', 'korea', 'japan', 'brazil']","[('human', 'JJ'), ('infection', 'NN'), ('associated', 'VBN'), ('cold', 'JJ'), ('waters', 'NNS'), ('northern', 'VBP'), ('hemisphere', 'RB'), ('historically', 'RB'), ('finland', 'VBP'), ('alaska', 'RB'), ('high', 'JJ'), ('disease', 'NN'), ('prevalence', 'NN'), ('decreased', 'VBD'), ('due', 'JJ'), ('preventive', 'JJ'), ('measures', 'NNS'), ('disease', 'VBP'), ('incidence', 'NN'), ('increasing', 'VBG'), ('countries', 'NNS'), ('russia', 'VBP'), ('south', 'JJ'), ('korea', 'FW'), ('japan', 'NN'), ('brazil', 'NN')]","[Synset('human.a.01'), Synset('infection.n.01'), Synset('associate.v.01'), Synset('cold.a.01'), Synset('waters.n.01'), None, None, Synset('historically.r.01'), None, None, Synset('high.a.01'), Synset('disease.n.01'), Synset('prevalence.n.01'), Synset('decrease.v.01'), Synset('due.a.01'), Synset('preventive.s.01'), Synset('measure.n.01'), None, Synset('incidence.n.01'), Synset('increase.v.01'), Synset('state.n.04'), None, Synset('south.a.01'), None, Synset('japan.n.01'), Synset('brazil.n.01')]"
47,dracunculiasis,historically dracunculiasis endemic 20 countries subsaharan africa asia incidence 35 million cases per year 1986 international control effort reduced 1785 cases detected five african countries 2010 mali ghana south sudan chad ethiopia,blisterusually leg footwhich burns itches fever nausea vomiting diarrhea dyspnea dizziness generalized urticaria,ingestion infected copepods usually drinking water,dracunculus medinensis,12 months 10 18 months,visual inspection adult worm protruding skin lesion microscopic identification larvae released lesion immersed water,"['historically', 'dracunculiasis', 'endemic', '20', 'countries', 'subsaharan', 'africa', 'asia', 'incidence', '35', 'million', 'cases', 'per', 'year', '1986', 'international', 'control', 'effort', 'reduced', '1785', 'cases', 'detected', 'five', 'african', 'countries', '2010', 'mali', 'ghana', 'south', 'sudan', 'chad', 'ethiopia']","[('historically', 'RB'), ('dracunculiasis', 'JJ'), ('endemic', 'JJ'), ('20', 'CD'), ('countries', 'NNS'), ('subsaharan', 'VBD'), ('africa', 'JJ'), ('asia', 'JJ'), ('incidence', 'NN'), ('35', 'CD'), ('million', 'CD'), ('cases', 'NNS'), ('per', 'IN'), ('year', 'NN'), ('1986', 'CD'), ('international', 'JJ'), ('control', 'NN'), ('effort', 'NN'), ('reduced', 'VBD'), ('1785', 'CD'), ('cases', 'NNS'), ('detected', 'VBD'), ('five', 'CD'), ('african', 'JJ'), ('countries', 'NNS'), ('2010', 'CD'), ('mali', 'NN'), ('ghana', 'NN'), ('south', 'JJ'), ('sudan', 'NN'), ('chad', 'VBD'), ('ethiopia', 'NN')]","[Synset('historically.r.01'), None, Synset('endemic.a.01'), None, Synset('state.n.04'), None, None, None, Synset('incidence.n.01'), None, None, Synset('case.n.01'), None, Synset('year.n.01'), None, Synset('international.a.01'), Synset('control.n.01'), Synset('attempt.n.01'), Synset('reduce.v.01'), None, Synset('case.n.01'), Synset('detect.v.01'), None, Synset('african.a.01'), Synset('state.n.04'), None, Synset('mali.n.01'), Synset('ghana.n.01'), Synset('south.a.01'), Synset('sudan.n.01'), None, Synset('ethiopia.n.01')]"
48,echinococcosis echinococcus multilocularis,echinococcosis restricted northern hemisphere commonly found adults,headache nausea vomiting abdominal pain hepatomegaly,ingestion tapeworm eggs feces foxes dogs cats contaminated fomites,echinococcus multilocularis,5–15 years humans 5–7 weeks dogs,histopathology imaging tests serodiagnosis pcr,"['echinococcosis', 'restricted', 'northern', 'hemisphere', 'commonly', 'found', 'adults']","[('echinococcosis', 'NN'), ('restricted', 'VBD'), ('northern', 'JJ'), ('hemisphere', 'RB'), ('commonly', 'RB'), ('found', 'VBN'), ('adults', 'NNS')]","[Synset('echinococcosis.n.01'), Synset('restrict.v.01'), Synset('northern.a.01'), None, Synset('normally.r.01'), Synset('establish.v.01'), Synset('adult.n.01')]"
49,eosinophilic meningitis angiostrongylus cantonensis,estimated 650 million people risk 10 provinces china eating raw frogs also lead human infections china usa consumption lizards caused several cases thailand sri lanka india,cough rhinorrhea sore throat malaise fever develop worms move lungs,consumption raw undercooked vector molluscs infested vegetables vegetable juice fresh water related food,angiostrongylus cantonensis,1 day several months depending parasite load usually 1–3 weeks,mainly clinical diagnosis subacute eosinophilic meningitis endemic area,"['estimated', '650', 'million', 'people', 'risk', '10', 'provinces', 'china', 'eating', 'raw', 'frogs', 'also', 'lead', 'human', 'infections', 'china', 'usa', 'consumption', 'lizards', 'caused', 'several', 'cases', 'thailand', 'sri', 'lanka', 'india']","[('estimated', 'VBN'), ('650', 'CD'), ('million', 'CD'), ('people', 'NNS'), ('risk', 'VBP'), ('10', 'CD'), ('provinces', 'NNS'), ('china', 'VBP'), ('eating', 'VBG'), ('raw', 'JJ'), ('frogs', 'NNS'), ('also', 'RB'), ('lead', 'VBP'), ('human', 'JJ'), ('infections', 'NNS'), ('china', 'VBP'), ('usa', 'JJ'), ('consumption', 'NN'), ('lizards', 'NNS'), ('caused', 'VBD'), ('several', 'JJ'), ('cases', 'NNS'), ('thailand', 'VBP'), ('sri', 'JJ'), ('lanka', 'NN'), ('india', 'NN')]","[Synset('estimate.v.01'), None, None, Synset('people.n.01'), Synset('risk.v.01'), None, Synset('state.n.01'), None, Synset('eat.v.01'), Synset('natural.s.07'), Synset('frog.n.01'), Synset('besides.r.02'), Synset('lead.v.01'), Synset('human.a.01'), Synset('infection.n.01'), None, None, Synset('consumption.n.01'), Synset('lizard.n.01'), Synset('cause.v.01'), Synset('several.s.01'), Synset('case.n.01'), None, None, None, Synset('india.n.01')]"
